collision_date,year,mo,NUM_injuries,NUM_deaths
2012-07-07,2012,7,3,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,2,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,3,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,2,0
2012-07-07,2012,7,2,0
2012-07-07,2012,7,2,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,3,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,4,0
2012-07-07,2012,7,4,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,2,0
2012-07-07,2012,7,1,0
2012-07-07,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,3,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,3,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,0,1
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,3,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,6,0
2012-07-08,2012,7,3,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,6,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
